data,valor
2016-01-12,2247463.59
2017-01-01,2308426.63
2017-01-02,2371349.28
2017-01-03,2403521.6
2017-01-04,2407694.44
2017-01-05,2456365.51
2017-01-06,2482902.91
2017-01-07,2578528.15
2017-01-08,2620832.4
2017-01-09,2660318.57
2017-01-10,2655280.94
2017-01-11,2690505.48
2017-01-12,2715958.2
2018-01-01,2755556.65
2018-01-02,2776111.78
2018-01-03,2788534.65
2018-01-04,2761224.58
2018-01-05,2723310.56
2018-01-06,2746860.0
2018-01-07,2814647.01
2018-01-08,2748393.23
2018-01-09,2826794.1
2018-01-10,2930663.26
2018-01-11,2920934.97
2018-01-12,2961823.44
2019-01-01,3015192.55
2019-01-02,3043253.62
2019-01-03,3016102.48
2019-01-04,3026697.53
2019-01-05,3066126.66
2019-01-06,3121257.84
2019-01-07,3148072.41
2019-01-08,3202380.07
2019-01-09,3221125.06
2019-01-10,3237113.93
2019-01-11,3285446.82
2019-01-12,3323913.97
2020-01-01,3310594.77
2020-01-02,3361566.3
2020-01-03,3405597.12
2020-01-04,3521334.5
2020-01-05,3663290.01
2020-01-06,3879965.21
2020-01-07,3988044.12
2020-01-08,3766889.18
2020-01-09,3872255.25
2020-01-10,3912652.41
2020-01-11,3945120.12
2020-01-12,4018630.3
2021-01-01,4030858.19
2021-01-02,4078667.61
2021-01-03,4113490.28
2021-01-04,4103728.9
2021-01-05,4147746.39
2021-01-06,4241470.4
2021-01-07,4300777.81
2021-01-08,4346930.88
2021-01-09,4393621.84
2021-01-10,4417142.71
2021-01-11,4452730.71
2021-01-12,4479219.91
2022-01-01,4433862.72
2022-01-02,4412427.14
2022-01-03,4460662.32
2022-01-04,4485921.21
2022-01-05,4561755.86
2022-01-06,4608672.32
2022-01-07,4619940.52
2022-01-08,4698506.53
2022-01-09,4723540.63
2022-01-10,4723266.34
2022-01-11,4783323.37
2022-01-12,4827099.07
2023-01-01,4791744.63
2023-01-02,4875622.71
2023-01-03,4943427.9
2023-01-04,4967402.18
2023-01-05,5055125.69
2023-01-06,5128473.13
2023-01-07,5198135.59
2023-01-08,5283360.64
2023-01-09,5323386.34
2023-01-10,5351578.1
2023-01-11,5431451.98
2023-01-12,5613293.49
2024-01-01,5633243.69
2024-01-02,5752327.38
2024-01-03,5802366.54
2024-01-04,5855255.02
2024-01-05,5979709.68
2024-01-06,6091470.51
2024-01-07,6161706.41
2024-01-08,6238890.77
2024-01-09,6283834.36
2024-01-10,6325912.01
2024-01-11,6399452.6
